Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1539.944147975457
FDW14,OUT017,1402.0231982028388
NCN55,OUT010,839.7623350904645
FDQ58,OUT017,2485.5431799045455
FDY38,OUT027,5142.527865900723
FDH56,OUT046,1898.1695856042195
FDL48,OUT018,670.282245588475
FDC48,OUT027,2115.1575405472054
FDN33,OUT045,1489.0054502249407
FDA36,OUT017,3166.922460654159
FDT44,OUT017,1920.1606860429597
FDQ56,OUT045,1329.9730268092922
NCC54,OUT019,732.5979223979256
FDU11,OUT049,2051.688050093569
DRL59,OUT013,868.0178544265689
FDM24,OUT049,2461.4070762898536
FDI57,OUT045,3066.8438328131037
DRC12,OUT018,2900.3061417005183
NCM42,OUT027,2703.2339760946443
FDA46,OUT010,512.1986734627436
FDA31,OUT013,2867.334307249637
NCJ31,OUT035,3793.084856318089
FDG52,OUT046,769.0053901846231
NCL19,OUT019,389.16592997671876
FDS10,OUT035,3176.3136135460736
FDX22,OUT010,765.5346922737795
NCF19,OUT035,798.3148075180723
NCE06,OUT046,2607.8798085434646
DRC27,OUT046,3714.160679281821
FDE21,OUT035,1973.6612109154441
NCR42,OUT019,260.2751946430855
FDX51,OUT018,2943.1643495046205
NCR06,OUT018,584.8765617085727
FDU31,OUT027,5225.409452439725
FDU59,OUT017,2647.6083022176863
FDR03,OUT027,5179.265271816391
FDS49,OUT027,2116.5075596071315
FDD48,OUT010,542.5387246469502
NCF18,OUT017,3162.906401256581
NCD43,OUT027,2703.2339760946443
NCD54,OUT018,1815.2491509174836
FDY19,OUT010,520.074495776063
NCY54,OUT017,2895.544102790506
NCL19,OUT018,2223.1797697290094
FDP23,OUT010,724.9972629107311
FDC26,OUT013,1898.1695856042195
FDR14,OUT010,353.51967655957947
NCS41,OUT035,3282.0391006101736
FDF41,OUT035,3954.3647584894265
FDU34,OUT046,1996.735768224221
DRH11,OUT046,911.6018434335451
FDM03,OUT013,1644.3023715911127
FDS31,OUT017,3092.4730563718485
FDJ20,OUT017,1961.686099433555
FDV44,OUT027,5156.313452470303
FDG02,OUT049,3196.7782950041333
FDA09,OUT013,2931.1391699895407
FDT04,OUT013,658.9763431931407
FDL58,OUT019,609.0010267596479
FDE52,OUT045,1401.5828405925931
FDW12,OUT035,2493.673564658562
FDL51,OUT017,3392.3383404147266
NCY42,OUT027,3313.8049315711296
FDR07,OUT017,1506.333250713677
FDN40,OUT045,2407.6867297157387
FDB35,OUT027,2292.8579310169034
FDA22,OUT017,2749.717289720045
NCL06,OUT046,3742.5131010293353
FDI35,OUT013,3101.1794381982845
NCW42,OUT045,3714.9490342104646
NCX06,OUT049,3075.8543041412204
FDC37,OUT027,2703.2339760946443
FDZ14,OUT018,1766.057648727842
DRG49,OUT049,3952.230323084325
NCG06,OUT045,3891.03115524395
DRC36,OUT045,2854.4577926052198
FDV21,OUT019,230.64161007982327
FDB53,OUT046,2443.3797675478404
DRP47,OUT019,718.3961989646367
FDA14,OUT013,2444.6377639404195
DRC24,OUT035,2528.484266797503
FDW21,OUT018,1393.684475022623
