iter	RMSE
0	0.9899533942
1	0.9627347635
2	0.9369311138
3	0.9123778741
4	0.8877992594
5	0.8646301803
6	0.8423667568
7	0.8211614803
8	0.8007428275
9	0.7815488163
10	0.7622380641
11	0.7435427967
12	0.7269164856
13	0.7097638211
14	0.6943144412
15	0.6792123208
16	0.6649319146
17	0.651882783
18	0.6394395457
19	0.626060975
20	0.6137930981
21	0.6014762604
22	0.5904163737
23	0.579336085
24	0.5691839625
25	0.5587623376
26	0.5487569866
27	0.5394325214
28	0.5305239651
29	0.5223446703
30	0.5139443148
31	0.5051041074
32	0.4982595381
33	0.4913910932
34	0.4841362662
35	0.4774435106
36	0.4711980978
37	0.4650210049
38	0.4585404809
39	0.4528793645
40	0.4471526462
41	0.441419151
42	0.4366334472
43	0.4315646135
44	0.4269845941
45	0.4224665504
46	0.4181190735
47	0.4145203006
48	0.4107265221
49	0.4071673756
50	0.4030438716
51	0.3994521512
52	0.3960195716
53	0.3925839578
54	0.3898225154
55	0.3869149349
56	0.3840862002
57	0.3814481159
58	0.3788216428
59	0.3758802982
60	0.3730969286
61	0.3703016412
62	0.3684576959
63	0.3662881272
64	0.364089702
65	0.3622226532
66	0.3604654007
67	0.3587615055
68	0.3570738331
69	0.3552274319
70	0.353350055
71	0.3517451201
72	0.349948815
73	0.3484482045
74	0.3468342958
75	0.3452799838
76	0.3434056259
77	0.3422285757
78	0.3409818945
79	0.3396958024
80	0.3383833704
81	0.3369431993
82	0.3358891863
83	0.3345908944
84	0.3336216087
85	0.3326629669
86	0.3314829442
87	0.3304269454
88	0.3295589963
89	0.3286773998
90	0.3278534653
91	0.3267473588
92	0.3256677835
93	0.3246838622
94	0.323938001
95	0.3233632034
96	0.3222335232
97	0.3217738738
98	0.3211147451
99	0.3204994356
100	0.3199019665
101	0.3193163794
102	0.3189035432
103	0.31797376
104	0.3172401858
105	0.3166987361
106	0.3158558343
107	0.3153110105
108	0.3147908527
109	0.3141048887
110	0.3135194699
111	0.3130478764
112	0.312437905
113	0.3117135244
114	0.3112274136
115	0.3105320023
116	0.3100981616
117	0.3094475741
118	0.3088397238
119	0.3085387278
120	0.3082468253
121	0.3078386448
122	0.3075008757
123	0.3071510121
124	0.3067081219
125	0.3058007781
126	0.3051477604
127	0.3048460691
128	0.3041190557
129	0.3035712005
130	0.3031166133
131	0.3027373362
132	0.3023368751
133	0.3020686427
134	0.3016314841
135	0.3013869782
136	0.3011161559
137	0.3006764385
138	0.3004405733
139	0.3000211474
140	0.299719005
141	0.2990481235
142	0.298598486
143	0.2981064728
144	0.2974756294
145	0.2970387087
146	0.2965135625
147	0.2964900212
148	0.2961554128
149	0.2958557004
150	0.2955606492
151	0.295329931
152	0.2950883401
153	0.2948666535
154	0.294556563
155	0.2942580607
156	0.293706972
157	0.2931343232
158	0.2929630023
159	0.2928306067
160	0.2927397283
161	0.292469046
162	0.2920435517
163	0.2920040587
164	0.2918273327
165	0.2913219075
166	0.2910870276
167	0.2909241577
168	0.2907743646
169	0.290502842
170	0.2903060776
171	0.2900748089
172	0.289993776
173	0.2898891116
174	0.289500056
175	0.2894536625
176	0.2890758285
177	0.2890540354
178	0.2888576589
179	0.2887423847
180	0.2885536955
181	0.2881380449
182	0.2876616968
183	0.2876536808
184	0.2875618565
185	0.2873209038
186	0.2871161519
187	0.286887424
188	0.2866101968
189	0.2865476183
190	0.2862968028
191	0.2861959247
192	0.2861143086
193	0.2858269089
194	0.2857659474
195	0.2852581315
196	0.2850058299
197	0.284829733
198	0.2847506266
199	0.284732805
200	0.2844909216
201	0.2842370685
202	0.2837789171
203	0.2834350041
204	0.2831597635
205	0.2829506969
206	0.2828457076
207	0.2828030703
208	0.2826669075
209	0.2826367178
210	0.2825814762
211	0.2823677178
212	0.2821374693
213	0.2816872495
214	0.2816459852
215	0.2815314764
216	0.2814704832
217	0.2813053696
218	0.281280573
