iter	Passed	Remaining
0	1	17052
1	3	15487
2	5	16745
3	6	16113
4	7	15824
5	10	16915
6	11	16588
7	13	16448
8	14	16004
9	15	15695
10	17	15657
11	18	15440
12	19	15281
13	21	15108
14	22	14928
15	23	14818
16	25	14757
17	26	14644
18	27	14524
19	29	14476
20	30	14376
21	31	14302
22	32	14247
23	34	14191
24	35	14130
25	36	14102
26	38	14081
27	39	14182
28	41	14188
29	42	14132
30	43	14130
31	45	14078
32	46	14037
33	48	14076
34	49	14022
35	50	13955
36	51	13978
37	53	13963
38	54	13921
39	55	13928
40	57	13911
41	58	13869
42	60	13917
43	61	13870
44	62	13859
45	63	13846
46	65	13818
47	66	13826
48	68	13827
49	69	13804
50	70	13773
51	72	13785
52	73	13754
53	74	13743
54	76	13755
55	77	13711
56	78	13686
57	79	13684
58	81	13673
59	82	13658
60	83	13670
61	85	13647
62	86	13623
63	87	13610
64	89	13609
65	90	13604
66	91	13605
67	93	13586
68	94	13598
69	95	13596
70	97	13580
71	98	13564
72	99	13562
73	100	13544
74	102	13527
75	103	13553
76	105	13542
77	106	13549
78	107	13540
79	108	13512
80	110	13510
81	111	13536
82	113	13544
83	115	13615
84	116	13636
85	118	13636
86	119	13644
87	121	13655
88	122	13658
89	124	13663
90	125	13652
91	126	13657
92	128	13637
93	129	13613
94	130	13626
95	131	13614
96	133	13602
97	134	13606
98	135	13594
99	137	13583
100	138	13598
101	139	13584
102	141	13567
103	142	13566
104	143	13556
105	145	13545
106	146	13555
107	147	13540
108	149	13524
109	150	13510
110	151	13509
111	152	13490
112	154	13493
113	155	13480
114	156	13474
115	158	13472
116	159	13472
117	160	13467
118	162	13474
119	163	13467
120	164	13453
121	166	13465
122	167	13469
123	168	13452
124	170	13445
125	171	13449
126	172	13431
127	174	13434
128	175	13432
129	176	13419
130	178	13411
131	179	13399
132	180	13384
133	181	13379
134	182	13370
135	184	13359
136	185	13357
137	187	13368
138	188	13363
139	189	13365
140	191	13357
141	192	13342
142	193	13334
143	194	13336
144	196	13330
145	197	13333
146	198	13325
147	199	13311
148	201	13322
149	202	13311
150	203	13298
151	205	13292
152	206	13289
153	207	13278
154	209	13277
155	210	13278
156	211	13269
157	212	13263
158	214	13265
159	215	13260
160	216	13243
161	218	13245
162	219	13236
163	220	13221
164	221	13220
165	223	13216
166	224	13204
167	225	13213
168	227	13218
169	228	13210
170	230	13227
171	231	13219
172	232	13209
173	233	13213
174	235	13208
175	236	13198
176	237	13196
177	238	13185
178	240	13176
179	241	13169
180	242	13162
181	243	13151
182	245	13162
183	246	13136
184	247	13131
185	249	13145
186	250	13146
187	251	13146
188	253	13155
189	254	13157
190	256	13151
191	257	13159
192	258	13156
193	260	13154
194	261	13163
195	263	13168
196	264	13176
197	266	13176
198	267	13169
199	269	13183
200	270	13179
201	271	13172
202	273	13178
203	274	13177
204	275	13171
205	277	13173
206	278	13171
207	279	13163
208	281	13170
209	282	13163
210	283	13159
211	285	13166
212	286	13167
213	287	13167
214	289	13174
215	290	13167
216	291	13161
217	293	13157
218	294	13159
219	295	13158
220	297	13156
221	298	13154
222	299	13148
223	301	13152
224	302	13145
225	303	13143
226	305	13150
227	306	13129
228	307	13129
229	309	13141
230	310	13139
231	312	13142
232	313	13137
233	314	13131
234	315	13128
235	317	13131
236	318	13139
237	320	13142
238	321	13148
239	323	13140
240	324	13147
241	326	13147
242	327	13148
243	328	13144
244	330	13139
245	331	13137
246	333	13149
247	334	13140
248	335	13147
249	337	13147
250	338	13149
251	340	13165
252	341	13168
253	343	13174
254	344	13174
255	346	13173
