,gender,ever_married,age,graduated,profession,work_experience,spending_score,family_size,customer_category,group
0,1.0,0.0,22.0,0.0,5.0,1.0,0.0,4.0,3.0,Experienced
1,0.0,1.0,38.0,1.0,2.0,5.89,1.0,3.0,3.0,Spender
2,0.0,1.0,67.0,1.0,2.0,1.0,0.0,1.0,5.0,Young
3,1.0,1.0,67.0,1.0,7.0,0.0,2.0,2.0,5.0,Young
4,0.0,1.0,40.0,1.0,3.0,5.783333333333334,2.0,6.0,5.0,Young
5,1.0,1.0,56.0,0.0,0.0,0.0,1.0,2.0,5.0,Young
6,1.0,0.0,32.0,1.0,5.0,1.0,0.0,3.0,5.0,Experienced
7,0.0,0.0,33.0,1.0,5.0,1.0,0.0,3.0,5.0,Experienced
8,0.0,1.0,61.0,1.0,2.0,0.0,0.0,3.0,6.0,Young
9,0.0,1.0,55.0,1.0,0.0,1.0,1.0,4.0,5.0,Young
10,0.0,0.0,26.0,1.0,2.0,1.0,0.0,3.0,5.0,Experienced
11,1.0,0.0,19.0,0.0,5.0,4.0,0.0,4.0,3.0,Experienced
12,0.0,0.0,19.0,0.0,4.0,0.0,0.0,4.7215,2.0,Experienced
13,1.0,1.0,70.0,0.0,7.0,0.21316666666666667,0.0,1.0,5.0,Young
14,0.0,1.0,58.0,0.0,1.0,0.0,0.0,1.0,2.0,Young
15,0.0,0.0,41.0,0.0,5.0,1.0,0.0,2.0,0.0,Experienced
16,0.0,0.0,32.0,0.0,6.0,9.0,0.0,5.0,2.0,Spender
17,1.0,0.0,31.0,0.0,5.0,1.0,0.0,6.0,5.0,Experienced
18,1.0,1.0,58.0,1.0,3.0,1.0,1.0,4.0,5.0,Young
19,0.0,1.0,79.0,1.0,0.0,0.0,2.0,1.0,5.0,Young
20,1.0,1.0,49.0,1.0,6.0,12.0,0.0,1.0,2.0,Spender
21,0.0,0.0,18.0,0.0,5.0,3.0,0.0,4.0,5.0,Experienced
22,1.0,1.0,33.0,1.0,0.0,13.0,0.0,2.0,2.0,Spender
23,0.0,0.0,36.0,1.0,0.0,5.0,0.0,2.0,5.0,Spender
24,0.0,1.0,58.0,0.0,4.0,1.0,1.0,3.0,2.0,Young
25,1.0,1.0,56.0,0.0,0.0,1.0,1.0,3.0,5.0,Young
26,1.0,0.0,31.0,0.0,5.0,9.0,0.0,8.0,3.0,Spender
27,1.0,1.0,49.0,1.0,0.0,1.0,1.0,3.0,5.0,Young
28,1.0,0.0,35.0,1.0,0.0,0.0,0.0,1.0,5.0,Experienced
29,0.0,0.0,35.0,0.0,0.0,5.0,0.0,4.0,5.0,Experienced
30,0.0,1.0,45.0,1.0,0.0,0.0,0.0,3.0,5.0,Young
31,0.0,1.0,42.0,0.0,1.0,1.0,0.0,2.0,3.0,Experienced
32,1.0,0.0,19.0,0.0,5.0,1.0,0.0,3.0,1.0,Experienced
33,1.0,0.0,26.0,0.0,6.0,9.0,0.0,1.6320476190476194,5.0,Spender
34,0.0,1.0,83.0,0.0,7.0,1.0,2.0,2.0,5.0,Young
35,0.0,0.0,27.0,1.0,5.0,3.0,0.0,4.0,0.0,Experienced
36,1.0,0.0,32.0,0.0,1.0,5.0,0.0,1.0,3.0,Spender
37,0.0,1.0,28.0,0.0,5.0,1.0,1.0,5.0,2.0,Experienced
38,0.0,1.0,28.0,1.0,0.0,8.0,0.0,2.0,5.0,Spender
39,1.0,1.0,56.0,1.0,0.0,1.0,1.0,2.0,5.0,Young
40,0.0,0.0,47.0,1.0,0.0,4.0,0.0,1.0,5.0,Spender
41,0.0,0.0,22.0,0.0,5.0,0.0,0.0,2.0,5.0,Experienced
42,0.0,0.0,27.0,1.0,0.0,14.0,0.0,3.0,5.0,Spender
43,0.0,1.0,49.0,1.0,0.0,1.0,0.0,2.0,2.7464761904761907,Young
44,1.0,1.0,40.0,0.0,2.0,8.0,0.0,1.0,5.0,Spender
45,0.0,1.0,79.0,0.0,7.0,1.2122103174603172,2.0,2.0,5.0,Young
46,1.0,1.0,41.0,1.0,0.0,0.0,1.0,4.0,3.0,Young
47,0.0,0.0,29.0,1.0,5.0,1.1455,0.0,1.0,6.0,Experienced
48,1.0,0.0,19.0,0.0,5.0,0.0,0.0,4.0,5.0,Experienced
49,0.0,0.0,45.0,1.0,2.0,1.0,0.0,1.0,5.0,Experienced
50,0.0,1.0,61.0,0.0,0.0,1.0,1.0,2.0,1.0,Young
51,0.0,1.0,36.0,1.0,0.0,1.0,1.0,2.0,5.0,Young
52,1.0,1.0,40.0,1.0,0.0,1.0,0.0,1.0,2.0,Experienced
53,0.0,1.0,57.0,1.0,3.0,0.0,1.0,2.0,5.0,Young
54,1.0,1.0,76.0,0.0,8.0,1.0,0.0,1.0,3.0,Young
55,1.0,1.0,32.0,1.0,0.0,14.0,1.0,2.0,5.0,Spender
56,1.0,0.0,25.0,1.0,5.0,9.0,0.0,4.0,5.0,Spender
57,1.0,0.0,32.0,0.7,1.0,8.0,0.0,2.0,5.0,Spender
58,0.0,1.0,45.0,1.0,0.0,1.0,1.0,3.0,2.0,Young
59,1.0,1.0,72.0,1.0,7.0,1.0,0.0,1.4233333333333331,3.0,Young
60,1.0,1.0,48.0,1.0,0.0,0.0,1.0,2.0,5.0,Young
61,1.0,1.0,55.0,1.0,0.0,9.0,1.0,2.0,0.0,Spender
62,1.0,1.0,74.0,1.0,7.0,0.0,2.0,3.0,5.0,Young
63,1.0,1.0,56.0,1.0,7.0,1.0,2.0,2.0,5.0,Young
64,1.0,1.0,59.0,1.0,7.0,7.0,2.0,2.0,5.0,Young
65,1.0,0.0,25.0,1.0,3.0,0.0,0.0,2.0,5.0,Experienced
66,1.0,1.0,31.0,1.0,1.0,0.0,1.0,2.0,5.0,Young
67,1.0,0.0,27.0,0.0,0.0,8.0,0.0,4.0,5.0,Spender
68,1.0,1.0,57.0,1.0,0.0,0.0,1.0,4.0,5.0,Young
69,0.0,1.0,39.0,1.0,6.0,8.18,2.0,2.0,5.0,Spender
70,1.0,1.0,27.0,1.0,5.0,8.0,0.0,2.0,5.0,Spender
71,0.0,1.0,51.0,1.0,3.0,8.0,1.0,2.0,5.0,Spender
72,0.0,1.0,47.0,0.0,0.0,0.0,1.0,5.0,5.0,Young
73,0.0,0.0,33.0,0.0,5.0,8.0,0.0,4.0,5.0,Spender
74,1.0,1.0,56.0,1.0,0.0,0.0,1.0,4.0,5.0,Young
75,0.0,0.0,33.0,0.0,6.0,0.0,0.0,3.0,5.0,Experienced
76,0.0,0.0,36.0,1.0,1.0,0.0,0.0,2.0,5.0,Experienced
77,1.0,1.0,51.0,0.0,0.0,4.0,0.0,3.0,3.0,Experienced
78,1.0,1.0,45.0,1.0,2.0,2.0,1.0,2.0,5.0,Young
79,0.0,0.0,49.0,1.0,9.0,1.0,0.0,1.0,5.0,Experienced
80,1.0,0.0,30.0,0.0,5.0,0.0,0.0,4.0,5.0,Experienced
81,0.0,0.0,26.0,0.0,5.0,6.0,0.0,3.0,4.0,Spender
82,1.0,1.0,63.0,1.0,0.0,8.0,0.0,1.0,5.0,Spender
83,1.0,1.0,35.0,0.0,3.0,8.0,1.0,4.0,2.0,Spender
84,0.0,0.0,19.0,0.0,8.0,1.0,0.0,3.0,3.0,Experienced
85,1.0,0.0,32.0,0.0,5.0,7.0,0.0,5.0,5.0,Spender
86,1.0,1.0,52.0,1.0,0.0,0.0,1.0,3.0,5.0,Young
87,0.0,1.0,36.0,1.0,0.0,5.0,0.0,2.0,5.0,Spender
88,0.0,0.0,42.0,0.0,3.0,7.0,0.0,3.0,3.0,Spender
89,1.0,1.0,40.0,0.0,1.0,0.0,1.0,2.0,2.0,Young
90,1.0,0.0,39.0,1.0,3.0,0.0,0.0,3.0,0.0,Experienced
91,0.0,1.0,47.0,1.0,0.0,1.0,1.0,4.0,2.0,Young
92,0.0,1.0,61.0,1.0,0.0,1.0,2.0,2.0,5.0,Young
93,1.0,1.0,32.0,0.0,3.0,1.0,0.0,2.0,2.0,Experienced
94,1.0,1.0,55.0,0.0,0.0,0.0,0.0,1.0,5.0,Young
95,1.0,1.0,58.0,1.0,0.0,2.2977016594516595,1.0,1.0,5.0,Young
96,0.0,0.0,38.0,1.0,0.0,0.0,0.0,1.0,5.0,Experienced
97,1.0,1.0,63.0,1.0,0.0,0.0,2.0,2.0,5.0,Young
98,1.0,1.0,58.0,1.0,1.0,1.0,1.0,2.0,5.0,Young
99,1.0,1.0,30.0,0.0,2.0,3.0,1.0,3.0,3.0,Experienced
100,1.0,1.0,60.0,1.0,0.0,0.0,1.0,4.0,5.0,Young
101,1.0,1.0,68.0,0.0,4.0,1.0,2.0,7.0,5.0,Young
102,1.0,1.0,52.0,0.0,0.0,0.0,0.0,3.0,3.0,Experienced
103,1.0,1.0,38.0,0.0,4.0,0.0,2.0,5.0,5.0,Young
104,0.0,1.0,35.0,1.0,5.0,10.0,0.0,2.0,5.0,Spender
105,1.0,0.0,18.0,0.0,1.0,1.0,0.0,2.0,5.0,Experienced
